,2011-06-22,2011-06-21,2011-06-20,2011-06-19,2011-06-18,2011-06-17,2011-06-16,2011-06-15,2011-06-14,2011-06-13,2011-06-12,2011-06-11,2011-06-10,2011-06-09,2011-06-08,2011-06-07,2011-06-06,2011-06-05,2011-06-04,2011-06-03,2011-06-02,2011-06-01,2011-05-26,2011-05-25,2011-05-24
raf15,0.0,0.0,0.0,0.000111111,0.000111111,0.000111111,0.004555556,0.005333333000000001,0.005333333000000001,0.005333333000000001,0.005333333000000001,0.005333333000000001,0.005333333000000001,0.005333333000000001,0.005333333000000001,0.005333333000000001,0.005333333000000001,0.005555556,0.008222222,0.008222222,0.008222222,0.003777778,0.006777778000000001,0.007666666999999999,0.008333333
raf20,8.329999999999999e-05,0.003416667,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004166667,0.00625,0.00625,0.00625,0.00625,0.00625,0.006166667,0.006166667,0.006166667,0.002833333,0.007083333000000001,0.007083333000000001,0.007083333000000001
raf25,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.003333333,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.007266666999999999,0.007733333,0.008133333000000001,0.008133333000000001,0.005933333000000001,0.005666666999999999,0.016666667,0.016933333000000002
raf30,0.002666667,0.002666667,0.002666667,0.002777778,0.004166667,0.004166667,0.004166667,0.004166667,0.004166667,0.004166667,0.004166667,0.004166667,0.004166667,0.006055556,0.0065,0.0068333330000000005,0.0068333330000000005,0.0072222219999999995,0.007333333,0.007333333,0.007333333,0.005111111,0.014388888999999998,0.014722222,0.014722222
rfd,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
rfd5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.6,0.4,0.4,0.4,0.0,0.2,0.4
rfd10,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2
rfd15,0.066666667,0.0,0.0,0.0,0.066666667,0.066666667,0.066666667,0.133333333,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.26666666699999997,0.26666666699999997,0.26666666699999997,0.26666666699999997,0.133333333,0.2,0.26666666699999997
rfd20,0.1,0.05,0.1,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.2,0.25,0.25,0.25,0.25,0.25,0.2,0.2,0.2,0.3,0.35,0.35
rfd25,0.16,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.16,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.24,0.24,0.28,0.28,0.28,0.28,0.32
rfd30,0.133333333,0.1,0.1,0.1,0.133333333,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.2,0.233333333,0.26666666699999997,0.26666666699999997,0.3,0.3,0.3,0.3,0.3,0.333333333,0.36666666700000006
tav,0.635,0.656666667,0.68,0.691666667,0.65,0.668333333,0.693333333,0.665,0.625,0.596666667,0.643333333,0.651666667,0.611666667,0.573333333,0.6183333329999999,0.6,0.598333333,0.588333333,0.561666667,0.568333333,0.565,0.553333333,0.596666667,0.6333333329999999,0.611666667
tav5,0.669333333,0.676666667,0.673666667,0.660333333,0.649666667,0.6446666670000001,0.636333333,0.6256666670000001,0.6153333329999999,0.6196666670000001,0.611,0.600333333,0.595666667,0.593333333,0.583333333,0.576333333,0.567333333,0.564,0.577333333,0.593666667,0.605666667,0.612666667,0.576666667,0.559333333,0.556666667
tav10,0.657,0.6565,0.649666667,0.637833333,0.6346666670000001,0.627833333,0.6183333329999999,0.610666667,0.6043333329999999,0.6015,0.593666667,0.583833333,0.579833333,0.585333333,0.5885,0.591,0.59,0.590833333,0.598,0.6023333329999999,0.6043333329999999,0.603833333,0.569333333,0.560333333,0.552666667
tav15,0.6416666670000001,0.637777778,0.6316666670000001,0.623,0.617555556,0.610666667,0.601333333,0.595111111,0.595333333,0.598888889,0.597666667,0.593444444,0.592444444,0.596444444,0.596,0.595,0.591666667,0.586111111,0.585111111,0.587111111,0.589333333,0.588555556,0.555,0.548555556,0.545888889
tav20,0.6253333329999999,0.620166667,0.61475,0.611583333,0.611583333,0.6094166670000001,0.604166667,0.60075,0.601166667,0.601916667,0.599,0.593833333,0.5885,0.587166667,0.586166667,0.5860833329999999,0.58325,0.5800833329999999,0.5791666670000001,0.5775,0.57375,0.57225,0.550166667,0.54625,0.5418333329999999
tav25,0.6214,0.6186666670000001,0.6153333329999999,0.613,0.6114666670000001,0.6081333329999999,0.6023333329999999,0.595933333,0.5928,0.592866667,0.591066667,0.586666667,0.5832,0.5820000000000001,0.578666667,0.5742666670000001,0.5712666670000001,0.569333333,0.568333333,0.568466667,0.567666667,0.565733333,0.5422,0.5268666670000001,0.5216666670000001
tav30,0.607166667,0.604777778,0.600388889,0.594166667,0.590722222,0.588388889,0.5852222220000001,0.581111111,0.577777778,0.5760000000000001,0.572388889,0.5670000000000001,0.564055556,0.562944444,0.560222222,0.559277778,0.5575,0.554722222,0.553333333,0.552888889,0.5515,0.55,0.513833333,0.5071111110000001,0.501555556
",tmi",0.595,0.573333333,0.601666667,0.593333333,0.588333333,0.6183333329999999,0.586666667,0.561666667,0.5216666670000001,0.526666667,0.566666667,0.58,0.543333333,0.543333333,0.546666667,0.513333333,0.488333333,0.518333333,0.5216666670000001,0.48666666700000005,0.505,0.5033333329999999,0.54,0.543333333,0.485
tmi5,0.595,0.597666667,0.589666667,0.575333333,0.563,0.552666667,0.551333333,0.547666667,0.552,0.556,0.545333333,0.527,0.522,0.5176666670000001,0.5056666670000001,0.504,0.507,0.507,0.510333333,0.525333333,0.526333333,0.527666667,0.491,0.485,0.499
tmi10,0.573833333,0.5745,0.568666667,0.563666667,0.5595,0.5489999999999999,0.539166667,0.534833333,0.534833333,0.530833333,0.524666667,0.517,0.5145,0.514,0.5155,0.515166667,0.517333333,0.5195,0.5216666670000001,0.5215,0.523166667,0.517,0.48716666700000005,0.47966666700000005,0.4765
tmi15,0.564333333,0.558666667,0.553111111,0.548333333,0.541555556,0.534,0.528444444,0.525555556,0.526666667,0.529,0.525222222,0.520555556,0.520333333,0.520333333,0.516222222,0.516777778,0.5136666670000001,0.51,0.509444444,0.514,0.5121111110000001,0.507888889,0.47711111100000003,0.47433333299999997,0.475
tmi20,0.54925,0.54575,0.541583333,0.538833333,0.5375,0.532083333,0.52825,0.527166667,0.52825,0.526166667,0.5239166670000001,0.517,0.513,0.5115,0.511916667,0.510083333,0.5076666670000001,0.5033333329999999,0.5006666670000001,0.499,0.49508333299999996,0.492166667,0.47675,0.473,0.469583333
tmi25,0.544666667,0.542133333,0.539666667,0.537666667,0.5335333329999999,0.529666667,0.5238666670000001,0.519933333,0.5196,0.520733333,0.517133333,0.5115333329999999,0.507066667,0.504066667,0.5003333329999999,0.49686666700000004,0.49513333299999995,0.494066667,0.49326666700000005,0.4936,0.491066667,0.489066667,0.467466667,0.46333333299999996,0.45906666700000004
tmi30,0.5315,0.5297777779999999,0.524444444,0.5201111110000001,0.517611111,0.5155,0.511833333,0.507777778,0.504777778,0.502833333,0.499055556,0.493944444,0.49066666700000006,0.488944444,0.487444444,0.486833333,0.485277778,0.48311111100000004,0.48194444399999997,0.481333333,0.478388889,0.476555556,0.451222222,0.44683333299999994,0.442888889
tmx,0.681666667,0.7466666670000001,0.78,0.791666667,0.7333333329999999,0.765,0.783333333,0.776666667,0.7383333329999999,0.688333333,0.7433333329999999,0.7416666670000001,0.655,0.615,0.71,0.696666667,0.705,0.696666667,0.648333333,0.668333333,0.66,0.6166666670000001,0.66,0.718333333,0.723333333
tmx5,0.763333333,0.7706666670000001,0.77,0.7593333329999999,0.7503333329999999,0.746,0.737666667,0.713333333,0.688666667,0.693,0.683666667,0.676333333,0.684666667,0.691333333,0.6829999999999999,0.675666667,0.6579999999999999,0.649666667,0.663666667,0.6829999999999999,0.694666667,0.704666667,0.669,0.644333333,0.6313333329999999
tmx10,0.7546666670000001,0.754166667,0.7416666670000001,0.7240000000000001,0.721666667,0.714833333,0.7070000000000001,0.6990000000000001,0.69,0.688,0.679666667,0.667166667,0.667166667,0.6775,0.6829999999999999,0.6851666670000001,0.681333333,0.677666667,0.684666667,0.6901666670000001,0.693,0.696333333,0.653333333,0.646166667,0.636833333
tmx15,0.731,0.728222222,0.722666667,0.7131111109999999,0.708777778,0.701777778,0.690666667,0.682555556,0.681222222,0.686333333,0.684666667,0.679666667,0.68,0.6868888890000001,0.687777778,0.687222222,0.683555556,0.6747777779999999,0.671222222,0.670555556,0.672,0.6728888890000001,0.639333333,0.629555556,0.623888889
tmx20,0.717166667,0.710666667,0.704416667,0.70075,0.702333333,0.7,0.6941666670000001,0.688333333,0.687333333,0.689083333,0.686333333,0.68175,0.67725,0.67625,0.673666667,0.6729166670000001,0.669166667,0.6655,0.665416667,0.6635,0.65925,0.658833333,0.632083333,0.629,0.624
tmx25,0.712666667,0.709466667,0.704666667,0.701733333,0.701333333,0.6982666670000001,0.6929333329999999,0.684466667,0.6787333329999999,0.677533333,0.6750666670000001,0.6706,0.669333333,0.6706,0.6674,0.662533333,0.658666667,0.654666667,0.6516,0.6504,0.650133333,0.6505333329999999,0.626066667,0.6176,0.611266667
tmx30,0.6945,0.692555556,0.688222222,0.680666667,0.6760555559999999,0.6725,0.669111111,0.664222222,0.660388889,0.659,0.655222222,0.649666667,0.648111111,0.6475,0.642888889,0.640944444,0.639222222,0.636888889,0.634,0.633611111,0.632388889,0.631777778,0.599333333,0.590333333,0.583722222
landuse,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
