,2011-06-07,2011-06-06,2011-06-05,2011-06-04,2011-06-03,2011-06-02,2011-06-01,2011-05-26,2011-05-25,2011-05-24,2011-05-21,2011-05-16,2011-05-15,2011-05-14,2011-05-13,2011-05-12,2011-05-11,2011-05-10,2011-05-09,2011-05-08
rfd5,0.2,0.2,0.4,0.6,0.4,0.4,0.4,0.0,0.2,0.4,0.4,0.0,0.2,0.4,0.6,0.6,0.8,0.8,0.6,0.4
rfd10,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4
rfd15,0.2,0.2,0.2,0.26666666699999997,0.26666666699999997,0.26666666699999997,0.26666666699999997,0.133333333,0.2,0.26666666699999997,0.4,0.333333333,0.333333333,0.4,0.46666666700000003,0.46666666700000003,0.533333333,0.533333333,0.46666666700000003,0.4
rfd20,0.25,0.25,0.25,0.25,0.2,0.2,0.2,0.3,0.35,0.35,0.35,0.4,0.45,0.45,0.45,0.45,0.5,0.45,0.4,0.35
rfd25,0.2,0.2,0.2,0.24,0.24,0.28,0.28,0.28,0.28,0.32,0.4,0.4,0.4,0.4,0.4,0.44,0.44,0.4,0.36,0.32
rfd30,0.233333333,0.26666666699999997,0.26666666699999997,0.3,0.3,0.3,0.3,0.3,0.333333333,0.36666666700000006,0.36666666700000006,0.36666666700000006,0.36666666700000006,0.36666666700000006,0.36666666700000006,0.36666666700000006,0.36666666700000006,0.333333333,0.3,0.3
tav,0.6,0.598333333,0.588333333,0.561666667,0.568333333,0.565,0.553333333,0.596666667,0.6333333329999999,0.611666667,0.505,0.525,0.543333333,0.535,0.49,0.523333333,0.54,0.536666667,0.571666667,0.545
tav5,0.576333333,0.567333333,0.564,0.577333333,0.593666667,0.605666667,0.612666667,0.576666667,0.559333333,0.556666667,0.562,0.526333333,0.525,0.532333333,0.543333333,0.539666667,0.535666667,0.539333333,0.529666667,0.522333333
tav10,0.591,0.59,0.590833333,0.598,0.6023333329999999,0.6043333329999999,0.603833333,0.569333333,0.560333333,0.552666667,0.544166667,0.531,0.532166667,0.531,0.532833333,0.530166667,0.523,0.494333333,0.485333333,0.474
tav15,0.595,0.591666667,0.586111111,0.585111111,0.587111111,0.589333333,0.588555556,0.555,0.548555556,0.545888889,0.541333333,0.524111111,0.504555556,0.501,0.497111111,0.49200000000000005,0.484777778,0.47866666700000005,0.46866666700000004,0.46066666700000003
tav20,0.5860833329999999,0.58325,0.5800833329999999,0.5791666670000001,0.5775,0.57375,0.57225,0.550166667,0.54625,0.5418333329999999,0.5335833329999999,0.495166667,0.49025,0.48458333299999995,0.481333333,0.47566666700000004,0.473083333,0.46825,0.461083333,0.45233333299999995
tav25,0.5742666670000001,0.5712666670000001,0.569333333,0.568333333,0.568466667,0.567666667,0.565733333,0.5422,0.5268666670000001,0.5216666670000001,0.5085333329999999,0.483733333,0.4796,0.47533333299999997,0.47053333299999994,0.46793333299999995,0.464533333,0.46166666700000003,0.4572,0.45306666700000003
tav30,0.559277778,0.5575,0.554722222,0.553333333,0.552888889,0.5515,0.55,0.513833333,0.5071111110000001,0.501555556,0.488833333,0.46799999999999997,0.46505555600000004,0.462722222,0.461722222,0.45899999999999996,0.455,0.4515,0.447111111,0.44277777799999996
",tmi",0.513333333,0.488333333,0.518333333,0.5216666670000001,0.48666666700000005,0.505,0.5033333329999999,0.54,0.543333333,0.485,0.46333333299999996,0.431666667,0.46833333299999996,0.45333333299999995,0.42666666700000005,0.445,0.49166666700000006,0.5016666670000001,0.495,0.441666667
tmi5,0.504,0.507,0.507,0.510333333,0.525333333,0.526333333,0.527666667,0.491,0.485,0.499,0.483333333,0.457,0.46366666700000003,0.47200000000000003,0.475,0.47666666700000004,0.47566666700000004,0.469,0.45333333299999995,0.454666667
tmi10,0.515166667,0.517333333,0.5195,0.5216666670000001,0.5215,0.523166667,0.517,0.48716666700000005,0.47966666700000005,0.4765,0.47016666700000004,0.46633333299999996,0.46633333299999996,0.46266666700000003,0.46483333299999996,0.46016666700000003,0.45299999999999996,0.44683333299999994,0.435166667,0.429
tmi15,0.516777778,0.5136666670000001,0.51,0.509444444,0.514,0.5121111110000001,0.507888889,0.47711111100000003,0.47433333299999997,0.475,0.47200000000000003,0.45433333299999995,0.452444444,0.447444444,0.444333333,0.441444444,0.436111111,0.427111111,0.418555556,0.41333333299999997
tmi20,0.510083333,0.5076666670000001,0.5033333329999999,0.5006666670000001,0.499,0.49508333299999996,0.492166667,0.47675,0.473,0.469583333,0.461583333,0.441333333,0.43625,0.43191666700000003,0.42875,0.42608333299999995,0.42125,0.41375,0.40716666700000004,0.402583333
tmi25,0.49686666700000004,0.49513333299999995,0.494066667,0.49326666700000005,0.4936,0.491066667,0.489066667,0.467466667,0.46333333299999996,0.45906666700000004,0.44973333299999996,0.4284,0.423733333,0.420133333,0.41706666700000006,0.414733333,0.4098,0.4062,0.401266667,0.39799999999999996
tmi30,0.486833333,0.485277778,0.48311111100000004,0.48194444399999997,0.481333333,0.478388889,0.476555556,0.451222222,0.44683333299999994,0.442888889,0.43272222200000005,0.41372222200000003,0.410388889,0.409,0.40716666700000004,0.40433333299999996,0.39905555600000003,0.39438888899999996,0.391166667,0.388222222
tmx,0.696666667,0.705,0.696666667,0.648333333,0.668333333,0.66,0.6166666670000001,0.66,0.718333333,0.723333333,0.565,0.6233333329999999,0.6466666670000001,0.63,0.575,0.6083333329999999,0.596666667,0.571666667,0.638333333,0.653333333
tmx5,0.675666667,0.6579999999999999,0.649666667,0.663666667,0.6829999999999999,0.694666667,0.704666667,0.669,0.644333333,0.6313333329999999,0.6376666670000001,0.6113333329999999,0.596333333,0.598,0.613666667,0.6173333329999999,0.6103333329999999,0.6273333329999999,0.6243333329999999,0.6133333329999999
tmx10,0.6851666670000001,0.681333333,0.677666667,0.684666667,0.6901666670000001,0.693,0.696333333,0.653333333,0.646166667,0.636833333,0.6245,0.610833333,0.611833333,0.611166667,0.6135,0.613166667,0.606166667,0.599666667,0.592333333,0.5775
tmx15,0.687222222,0.683555556,0.6747777779999999,0.671222222,0.670555556,0.672,0.6728888890000001,0.639333333,0.629555556,0.623888889,0.619777778,0.6078888889999999,0.598555556,0.5942222220000001,0.589555556,0.582444444,0.572555556,0.5694444439999999,0.560111111,0.549666667
tmx20,0.6729166670000001,0.669166667,0.6655,0.665416667,0.6635,0.65925,0.658833333,0.632083333,0.629,0.624,0.6153333329999999,0.58225,0.5761666670000001,0.569583333,0.565666667,0.560416667,0.5585,0.557,0.551166667,0.54025
tmx25,0.662533333,0.658666667,0.654666667,0.6516,0.6504,0.650133333,0.6505333329999999,0.626066667,0.6176,0.611266667,0.593333333,0.5690666670000001,0.564866667,0.560533333,0.5549333329999999,0.553333333,0.5519333329999999,0.552333333,0.549133333,0.5444
tmx30,0.640944444,0.639222222,0.636888889,0.634,0.633611111,0.632388889,0.631777778,0.599333333,0.590333333,0.583722222,0.5702222220000001,0.551444444,0.548611111,0.547,0.546444444,0.544,0.541333333,0.539388889,0.535222222,0.530111111
landuse,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
