,2011-06-14,2011-06-13,2011-06-12,2011-06-11,2011-06-10,2011-06-09,2011-06-08,2011-06-07,2011-06-06,2011-06-05,2011-06-04,2011-06-03,2011-06-02,2011-06-01,2011-05-26,2011-05-25,2011-05-24,2011-05-21,2011-05-16,2011-05-15
tav15,0.595333333,0.598888889,0.597666667,0.593444444,0.592444444,0.596444444,0.596,0.595,0.591666667,0.586111111,0.585111111,0.587111111,0.589333333,0.588555556,0.555,0.548555556,0.545888889,0.541333333,0.524111111,0.504555556
tav20,0.601166667,0.601916667,0.599,0.593833333,0.5885,0.587166667,0.586166667,0.5860833329999999,0.58325,0.5800833329999999,0.5791666670000001,0.5775,0.57375,0.57225,0.550166667,0.54625,0.5418333329999999,0.5335833329999999,0.495166667,0.49025
tav25,0.5928,0.592866667,0.591066667,0.586666667,0.5832,0.5820000000000001,0.578666667,0.5742666670000001,0.5712666670000001,0.569333333,0.568333333,0.568466667,0.567666667,0.565733333,0.5422,0.5268666670000001,0.5216666670000001,0.5085333329999999,0.483733333,0.4796
tav30,0.577777778,0.5760000000000001,0.572388889,0.5670000000000001,0.564055556,0.562944444,0.560222222,0.559277778,0.5575,0.554722222,0.553333333,0.552888889,0.5515,0.55,0.513833333,0.5071111110000001,0.501555556,0.488833333,0.46799999999999997,0.46505555600000004
",tmi",0.5216666670000001,0.526666667,0.566666667,0.58,0.543333333,0.543333333,0.546666667,0.513333333,0.488333333,0.518333333,0.5216666670000001,0.48666666700000005,0.505,0.5033333329999999,0.54,0.543333333,0.485,0.46333333299999996,0.431666667,0.46833333299999996
tmi5,0.552,0.556,0.545333333,0.527,0.522,0.5176666670000001,0.5056666670000001,0.504,0.507,0.507,0.510333333,0.525333333,0.526333333,0.527666667,0.491,0.485,0.499,0.483333333,0.457,0.46366666700000003
tmi10,0.534833333,0.530833333,0.524666667,0.517,0.5145,0.514,0.5155,0.515166667,0.517333333,0.5195,0.5216666670000001,0.5215,0.523166667,0.517,0.48716666700000005,0.47966666700000005,0.4765,0.47016666700000004,0.46633333299999996,0.46633333299999996
tmi15,0.526666667,0.529,0.525222222,0.520555556,0.520333333,0.520333333,0.516222222,0.516777778,0.5136666670000001,0.51,0.509444444,0.514,0.5121111110000001,0.507888889,0.47711111100000003,0.47433333299999997,0.475,0.47200000000000003,0.45433333299999995,0.452444444
tmi20,0.52825,0.526166667,0.5239166670000001,0.517,0.513,0.5115,0.511916667,0.510083333,0.5076666670000001,0.5033333329999999,0.5006666670000001,0.499,0.49508333299999996,0.492166667,0.47675,0.473,0.469583333,0.461583333,0.441333333,0.43625
tmi25,0.5196,0.520733333,0.517133333,0.5115333329999999,0.507066667,0.504066667,0.5003333329999999,0.49686666700000004,0.49513333299999995,0.494066667,0.49326666700000005,0.4936,0.491066667,0.489066667,0.467466667,0.46333333299999996,0.45906666700000004,0.44973333299999996,0.4284,0.423733333
tmi30,0.504777778,0.502833333,0.499055556,0.493944444,0.49066666700000006,0.488944444,0.487444444,0.486833333,0.485277778,0.48311111100000004,0.48194444399999997,0.481333333,0.478388889,0.476555556,0.451222222,0.44683333299999994,0.442888889,0.43272222200000005,0.41372222200000003,0.410388889
tmx,0.7383333329999999,0.688333333,0.7433333329999999,0.7416666670000001,0.655,0.615,0.71,0.696666667,0.705,0.696666667,0.648333333,0.668333333,0.66,0.6166666670000001,0.66,0.718333333,0.723333333,0.565,0.6233333329999999,0.6466666670000001
tmx5,0.688666667,0.693,0.683666667,0.676333333,0.684666667,0.691333333,0.6829999999999999,0.675666667,0.6579999999999999,0.649666667,0.663666667,0.6829999999999999,0.694666667,0.704666667,0.669,0.644333333,0.6313333329999999,0.6376666670000001,0.6113333329999999,0.596333333
tmx10,0.69,0.688,0.679666667,0.667166667,0.667166667,0.6775,0.6829999999999999,0.6851666670000001,0.681333333,0.677666667,0.684666667,0.6901666670000001,0.693,0.696333333,0.653333333,0.646166667,0.636833333,0.6245,0.610833333,0.611833333
tmx15,0.681222222,0.686333333,0.684666667,0.679666667,0.68,0.6868888890000001,0.687777778,0.687222222,0.683555556,0.6747777779999999,0.671222222,0.670555556,0.672,0.6728888890000001,0.639333333,0.629555556,0.623888889,0.619777778,0.6078888889999999,0.598555556
tmx20,0.687333333,0.689083333,0.686333333,0.68175,0.67725,0.67625,0.673666667,0.6729166670000001,0.669166667,0.6655,0.665416667,0.6635,0.65925,0.658833333,0.632083333,0.629,0.624,0.6153333329999999,0.58225,0.5761666670000001
tmx25,0.6787333329999999,0.677533333,0.6750666670000001,0.6706,0.669333333,0.6706,0.6674,0.662533333,0.658666667,0.654666667,0.6516,0.6504,0.650133333,0.6505333329999999,0.626066667,0.6176,0.611266667,0.593333333,0.5690666670000001,0.564866667
tmx30,0.660388889,0.659,0.655222222,0.649666667,0.648111111,0.6475,0.642888889,0.640944444,0.639222222,0.636888889,0.634,0.633611111,0.632388889,0.631777778,0.599333333,0.590333333,0.583722222,0.5702222220000001,0.551444444,0.548611111
landuse,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
